Ticker,Company,Sector,MarketCap_B,DataPoints,Features,StartDate,EndDate,AvgReturn,Volatility,DataFile
NVDA,Unknown,Unknown,4939.76,1011,132,2020-12-30,2025-10-23,0.0027314372147933,0.0331604348379327,NVDA_features.csv
AAPL,Unknown,Unknown,4027.68,1011,132,2020-12-30,2025-10-23,0.0006987994484059,0.0177999331263205,AAPL_features.csv
MSFT,Unknown,Unknown,3907.65,1011,132,2020-12-30,2025-10-23,0.0008292720367633,0.0163158572641525,MSFT_features.csv
GOOGL,Unknown,Unknown,3398.89,1011,132,2020-12-30,2025-10-23,0.0010660040910159,0.0195910895493828,GOOGL_features.csv
AMZN,Unknown,Unknown,2376.78,1011,132,2020-12-30,2025-10-23,0.0004810017736673,0.0221289463761799,AMZN_features.csv
AVGO,Unknown,Unknown,1777.83,1011,132,2020-12-30,2025-10-23,0.0020652831739924,0.0263846565822676,AVGO_features.csv
META,Unknown,Unknown,1679.86,1011,132,2020-12-30,2025-10-23,0.0011881021854732,0.02749097124911,META_features.csv
TSLA,Unknown,Unknown,1463.69,1011,132,2020-12-30,2025-10-23,0.0013204258347729,0.0385688317849867,TSLA_features.csv
BRK-B,Unknown,Unknown,1032.4,1011,132,2020-12-30,2025-10-23,0.0006867863684725,0.0109343297742674,BRK-B_features.csv
JPM,Unknown,Unknown,842.36,1011,132,2020-12-30,2025-10-23,0.000826406483167,0.0153710502920321,JPM_features.csv
WMT,Unknown,Unknown,815.06,1011,132,2020-12-30,2025-10-23,0.0007462014064864,0.0131029972855954,WMT_features.csv
LLY,Unknown,Unknown,757.06,1011,132,2020-12-30,2025-10-23,0.0015220973633252,0.0202151878561793,LLY_features.csv
ORCL,Unknown,Unknown,732.34,1011,132,2020-12-30,2025-10-23,0.0014921764402204,0.0240278403937414,ORCL_features.csv
V,Unknown,Unknown,667.03,1011,132,2020-12-30,2025-10-23,0.0004986345262956,0.0143617969783664,V_features.csv
MA,Unknown,Unknown,497.2,1011,132,2020-12-30,2025-10-23,0.000533966644491,0.0153234037050097,MA_features.csv
XOM,Unknown,Unknown,488.95,1011,132,2020-12-30,2025-10-23,0.0010036423848506,0.0172773337163546,XOM_features.csv
NFLX,Unknown,Unknown,461.44,1011,132,2020-12-30,2025-10-23,0.0010071356178923,0.0275376874222828,NFLX_features.csv
JNJ,Unknown,Unknown,455.48,1011,132,2020-12-30,2025-10-23,0.0002392076291724,0.0105555532185072,JNJ_features.csv
AMD,Unknown,Unknown,413.57,1011,132,2020-12-30,2025-10-23,0.0013228844568391,0.0329190314917336,AMD_features.csv
COST,Unknown,Unknown,407.8,1011,132,2020-12-30,2025-10-23,0.0008691283649596,0.0142806179868943,COST_features.csv
ABBV,Unknown,Unknown,403.13,1011,132,2020-12-30,2025-10-23,0.0007463526987315,0.0142115904729522,ABBV_features.csv
BAC,Unknown,Unknown,388.68,1011,132,2020-12-30,2025-10-23,0.0005992956462355,0.017252081899882,BAC_features.csv
HD,Unknown,Unknown,377.8,1011,132,2020-12-30,2025-10-23,0.0004159138566458,0.0148767957609329,HD_features.csv
PG,Unknown,Unknown,349.53,1011,132,2020-12-30,2025-10-23,0.0001382525944974,0.0109168898235567,PG_features.csv
GE,Unknown,Unknown,327.78,1011,132,2020-12-30,2025-10-23,0.0016468763141089,0.0194837983074514,GE_features.csv
UNH,Unknown,Unknown,312.29,1011,132,2020-12-30,2025-10-23,0.0002117638372752,0.0187443955269059,UNH_features.csv
CVX,Unknown,Unknown,309.32,1011,132,2020-12-30,2025-10-23,0.0006389165719202,0.0161125457373653,CVX_features.csv
KO,Unknown,Unknown,296.72,1011,132,2020-12-30,2025-10-23,0.0002628592716342,0.0100972932739336,KO_features.csv
IBM,Unknown,Unknown,289.82,1011,132,2020-12-30,2025-10-23,0.0008379283938425,0.0149245745137746,IBM_features.csv
