Ticker,Company,Sector,MarketCap
NVDA,Unknown,Unknown,4939762892800
AAPL,Unknown,Unknown,4027681603584
MSFT,Unknown,Unknown,3907647176704
GOOGL,Unknown,Unknown,3398890160128
AMZN,Unknown,Unknown,2376782315520
AVGO,Unknown,Unknown,1777828757504
META,Unknown,Unknown,1679855976448
TSLA,Unknown,Unknown,1463693082624
BRK-B,Unknown,Unknown,1032401715200
JPM,Unknown,Unknown,842357604352
WMT,Unknown,Unknown,815064612864
LLY,Unknown,Unknown,757057716224
ORCL,Unknown,Unknown,732340158464
V,Unknown,Unknown,667032485888
MA,Unknown,Unknown,497202331648
XOM,Unknown,Unknown,488951808000
NFLX,Unknown,Unknown,461444481024
JNJ,Unknown,Unknown,455477231616
AMD,Unknown,Unknown,413565485056
COST,Unknown,Unknown,407804608512
ABBV,Unknown,Unknown,403128582144
BAC,Unknown,Unknown,388679237632
HD,Unknown,Unknown,377798983680
PG,Unknown,Unknown,349528588288
GE,Unknown,Unknown,327783415808
UNH,Unknown,Unknown,312287854592
CVX,Unknown,Unknown,309315534848
KO,Unknown,Unknown,296724987904
IBM,Unknown,Unknown,289824014336
CSCO,Unknown,Unknown,287318278144
CAT,Unknown,Unknown,273193484288
AXP,Unknown,Unknown,247215079424
CRM,Unknown,Unknown,244330790912
RTX,Unknown,Unknown,237879754752
TMUS,Unknown,Unknown,235613421568
PM,Unknown,Unknown,226895659008
ABT,Unknown,Unknown,216785158144
MCD,Unknown,Unknown,215815372800
MRK,Unknown,Unknown,215508746240
TMO,Unknown,Unknown,210035408896
PEP,Unknown,Unknown,201751052288
DIS,Unknown,Unknown,201080913920
NOW,Unknown,Unknown,194554576896
INTC,Unknown,Unknown,191402557440
QCOM,Unknown,Unknown,191263539200
ISRG,Unknown,Unknown,187890008064
T,Unknown,Unknown,175450128384
SCHW,Unknown,Unknown,171374870528
BLK,Unknown,Unknown,170307567616
NEE,Unknown,Unknown,170024255488
