feature,importance
BTC_return_5d,0.0
BTC_return_10d,0.0
return_1d,0.0
return_5d,0.0
return_10d,0.0
return_20d,0.0
volatility_20d,0.0
volatility_60d,0.0
volume_ratio,0.0
price_position,0.0
sma_20,0.0
sma_50,0.0
trend,0.0
fear_greed_ma5,0.0
fear_greed_ma10,0.0
fear_greed_extreme_fear,0.0
fear_greed_extreme_greed,0.0
fear_greed_change_5d,0.0
vix_ma5,0.0
vix_ma20,0.0
vix_regime,0.0
vix_spike,0.0
vix_zscore,0.0
btc_return_5d,0.0
btc_return_10d,0.0
btc_volatility_10d,0.0
btc_momentum,0.0
composite_sentiment,0.0
rsi_14,0.0
rsi_30,0.0
rsi_7,0.0
macd,0.0
macd_signal,0.0
macd_hist,0.0
stoch_k,0.0
stoch_d,0.0
willr,0.0
roc,0.0
momentum,0.0
rsi_14_ma,0.0
rsi_divergence,0.0
macd_crossover,0.0
atr_14,0.0
atr_20,0.0
bb_middle,0.0
bb_upper,0.0
bb_lower,0.0
bb_width,0.0
bb_position,0.0
bb_squeeze,0.0
hist_vol_20,0.0
hist_vol_60,0.0
vol_ratio,0.0
parkinson_vol,0.0
plus_di,0.0
minus_di,0.0
adx,0.0
aroon_up,0.0
aroon_down,0.0
aroon_osc,0.0
trend_strength,0.0
di_diff,0.0
linreg_slope_20,0.0
linreg_slope_50,0.0
obv,0.0
mfi,0.0
ad,0.0
vwap,0.0
volume_sma_20,0.0
volume_ratio_adv,0.0
volume_trend,0.0
obv_slope,0.0
pv_corr,0.0
higher_high,0.0
lower_low,0.0
gap_up,0.0
gap_down,0.0
body_size,0.0
upper_shadow,0.0
lower_shadow,0.0
is_doji,0.0
bullish_engulfing,0.0
bearish_engulfing,0.0
resistance_20,0.0
support_20,0.0
distance_to_resistance,0.0
distance_to_support,0.0
weekly_return,0.0
weekly_high,0.0
weekly_low,0.0
weekly_range,0.0
monthly_return,0.0
monthly_high,0.0
monthly_low,0.0
position_in_weekly_range,0.0
position_in_monthly_range,0.0
sma_10,0.0
sma_50_adv,0.0
sma_200,0.0
trend_alignment,0.0
spread,0.0
spread_ma,0.0
spread_ratio,0.0
price_impact,0.0
liquidity,0.0
intraday_vol,0.0
overnight_return,0.0
intraday_momentum,0.0
