,strategy,benchmark
2023-07-24 00:00:00-04:00,10000.0,10000.0
2023-07-25 00:00:00-04:00,10000.0,10027.299756136565
2023-07-26 00:00:00-04:00,10000.0,10028.840849089647
2023-07-27 00:00:00-04:00,10000.0,9962.3504351305
2023-07-28 00:00:00-04:00,10000.0,10059.885433434469
2023-07-31 00:00:00-04:00,10000.0,10079.040499480123
2023-08-01 00:00:00-04:00,10000.0,10050.197575310196
2023-08-02 00:00:00-04:00,10000.0,9910.391116664334
2023-08-03 00:00:00-04:00,10000.0,9881.99018459361
2023-08-04 00:00:00-04:00,10000.0,9837.295722180505
2023-08-07 00:00:00-04:00,10000.0,9923.161852388195
2023-08-08 00:00:00-04:00,10000.0,9880.00779123475
2023-08-09 00:00:00-04:00,10000.0,9813.957985987952
2023-08-10 00:00:00-04:00,10000.0,9817.48147229989
2023-08-11 00:00:00-04:00,10000.0,9811.756325813058
2023-08-14 00:00:00-04:00,10000.0,9865.917996147544
2023-08-15 00:00:00-04:00,10000.0,9750.99175003417
2023-08-16 00:00:00-04:00,10000.0,9679.436756809999
2023-08-17 00:00:00-04:00,10000.0,9605.678720024081
2023-08-18 00:00:00-04:00,10000.0,9610.303382270182
2023-08-21 00:00:00-04:00,10000.0,9672.831084591891
2023-08-22 00:00:00-04:00,10000.0,9646.631121002634
2023-08-23 00:00:00-04:00,10000.0,9754.071860860056
2023-08-24 00:00:00-04:00,10000.0,9618.890064460293
2023-08-25 00:00:00-04:00,10000.0,9686.701612863062
2023-08-28 00:00:00-04:00,10000.0,9748.128830944039
2023-08-29 00:00:00-04:00,10000.0,9889.03508213721
2023-08-30 00:00:00-04:00,10000.0,9929.76614121945
2023-08-31 00:00:00-04:00,10000.0,9915.23504572647
2023-09-01 00:00:00-04:00,10000.0,9933.728852856888
2023-09-05 00:00:00-04:00,10000.0,9890.797516986606
2023-09-06 00:00:00-04:00,10000.0,9824.305719640606
2023-09-07 00:00:00-04:00,9984.664304322683,9794.143044413911
2023-09-08 00:00:00-04:00,9992.163873435871,9808.893406722927
2023-09-11 00:00:00-04:00,10019.943315237848,9873.404194096922
2023-09-12 00:00:00-04:00,10019.943315237848,9819.24183206901
2023-09-13 00:00:00-04:00,10025.779286762656,9830.691433349253
2023-09-14 00:00:00-04:00,10068.983738797686,9915.454312542504
2023-09-15 00:00:00-04:00,10008.091917738522,9795.990557554704
2023-09-18 00:00:00-04:00,10006.023913217592,9801.735071457464
2023-09-19 00:00:00-04:00,10006.023913217592,9781.408968441625
2023-09-20 00:00:00-04:00,10006.023913217592,9691.485364597138
2023-09-21 00:00:00-04:00,10006.023913217592,9531.300234235061
2023-09-22 00:00:00-04:00,10006.023913217592,9509.868113431081
2023-09-25 00:00:00-04:00,10006.023913217592,9549.859752240947
2023-09-26 00:00:00-04:00,10006.023913217592,9409.559424488934
2023-09-27 00:00:00-04:00,10006.023913217592,9413.31601148543
2023-09-28 00:00:00-04:00,10006.023913217592,9467.889239408374
2023-09-29 00:00:00-04:00,10006.023913217592,9444.911875490756
2023-10-02 00:00:00-04:00,10006.023913217592,9441.154596800836
2023-10-03 00:00:00-04:00,10006.023913217592,9314.775290940088
2023-10-04 00:00:00-04:00,10006.023913217592,9382.604823371934
2023-10-05 00:00:00-04:00,10006.023913217592,9379.070269965177
2023-10-06 00:00:00-04:00,10006.023913217592,9490.42668630707
