ticker,approach,group,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,epochs_trained,final_train_loss,final_val_loss,timestamp
GOOGL,ADAPTIVE,MEDIUM,603,151,185,-0.053479932397133896,-0.007338862354228734,0.04248358628609441,0.04379766389219872,5.773109878995069,7.89716375612943,0.01547189346213446,0.042543568305565806,0.6556291390728477,-0.41934638909198424,151,200,0.0022228045854717493,0.0023144246079027653,2025-10-31 15:05:22
GE,ORIGINAL,MEDIUM,808,203,124,,,0.04253167445324141,0.044326035138831446,5.728437481653987,18.310903030447776,0.015648101980111604,0.043363643013101937,0.6945812807881774,-0.5996790383176209,203,200,0.001842036726884544,0.00199632509611547,2025-10-31 15:05:53
CAT,ADAPTIVE,MEDIUM,603,151,185,-0.04598618098850084,-0.0462458650412864,0.041048087894507646,0.04485916614603592,5.6316986501786,7.884272337841635,0.015553189258769357,0.04384098663161219,0.6887417218543046,-0.577150214857788,151,200,0.0019404732156544924,0.002266970230266452,2025-10-31 15:06:21
MSFT,MULTI-SCALE,MEDIUM,603,151,185,-0.1483558207632663,-0.23964073037707811,0.031853860641195435,0.03283943471528562,5.071492988819209,3.3754754259324775,0.010334909007670782,0.03234976262460882,0.6887417218543046,-0.29674774019901473,151,200,0.0014965127920731902,0.0015786836156621575,2025-10-31 15:07:18
AVGO,ADAPTIVE,MEDIUM,603,151,185,0.5247314613922971,0.08216103171836876,0.059588561144883624,0.06544100668305158,4.821239629211116,13.430801901217665,0.019909200271314462,0.0655534220712818,0.6356589147286822,-0.6512644959304559,129,200,0.004934587515890598,0.00621302705258131,2025-10-31 15:06:50
RTX,ORIGINAL,MEDIUM,808,203,124,-0.009354828809036125,0.20148505641415468,0.03197441164345275,0.0393935247409622,4.763146159574153,7.770813843861129,0.011479659864197708,0.038259155758082475,0.645320197044335,-0.40745411202865145,203,200,0.0010901023633778095,0.0016183245461434126,2025-10-31 15:07:49
ORCL,ADAPTIVE,MEDIUM,603,151,185,-0.09351083940096129,-0.08022556582133387,0.04653824765187759,0.0873732362954293,4.433833939468323,20.93649103676351,0.02399087443450394,0.08589481025482812,0.609271523178808,-0.5943763301484093,151,200,0.002427316503599286,0.007886006496846676,2025-10-31 15:13:52
JPM,ADAPTIVE,MEDIUM,603,151,185,-0.0597094856515587,-0.37678530509181113,0.03106014526419082,0.034600278023241116,3.9882418502690538,2.3657736899178525,0.008671937237982293,0.03451714842515932,0.6556291390728477,-0.44766181380651304,151,200,0.0014133489457890391,0.0016341106966137886,2025-10-31 15:10:58
AMD,ORIGINAL,HIGH,808,203,124,,,0.07196885795855056,0.08872872393541019,3.944000103378953,36.55333800439055,0.02155917629552894,0.08677517868293178,0.5960591133004927,-0.8351913336267262,203,200,0.00518914544954896,0.007882261648774147,2025-10-31 15:28:38
WMT,MULTI-SCALE,LOW,603,151,185,-0.03312913502256362,-0.02058295318931097,0.026365860272832945,0.03198041329731147,3.888564347019741,2.009137399009805,0.007819073257208256,0.031920248413670596,0.5960264900662252,-0.30703331508255,151,200,0.001643520430661738,0.001961812609806657,2025-10-31 15:12:27
