,strategy,benchmark
2023-07-24,10000.0,10000.0
2023-07-25,10013.636228190215,10027.299756136565
2023-07-26,10014.790228051315,10028.840849089647
2023-07-27,9956.705255837742,9962.3504351305
2023-07-28,10041.910285089294,10059.885433434469
2023-07-31,10049.838957213113,10079.040499480123
2023-08-01,10035.47365744897,10050.197575310196
2023-08-02,9930.89232370821,9910.391116664334
2023-08-03,9906.043520585548,9881.99018459361
2023-08-04,9866.939032943705,9837.295722180505
2023-08-07,9933.38374907176,9923.161852388195
2023-08-08,9911.806091149389,9880.00779123475
2023-08-09,9862.17858641939,9813.957985987952
2023-08-10,9865.27225111686,9817.48147229989
2023-08-11,9860.245501470028,9811.756325813058
2023-08-14,9899.137721596628,9865.917996147544
2023-08-15,9841.538769942657,9750.99175003417
2023-08-16,9787.516191839371,9679.436756809999
2023-08-17,9722.391918818636,9605.678720024081
2023-08-18,9726.475240174083,9610.303382270182
2023-08-21,9773.14317244176,9672.831084591891
2023-08-22,9759.920573130437,9646.631121002634
2023-08-23,9841.356191928644,9754.071860860056
2023-08-24,9721.946327300471,9618.890064460293
2023-08-25,9781.846166114978,9686.701612863062
2023-08-28,9827.495752196855,9748.128830944039
2023-08-29,9898.451463465386,9889.03508213721
2023-08-30,9929.081660356263,9929.76614121945
2023-08-31,9916.354644242414,9915.23504572647
2023-09-01,9932.552389379316,9933.728852856888
2023-09-05,9886.288283337724,9890.797516986606
2023-09-06,9853.090772275802,9824.305719640606
2023-09-07,9830.443148655339,9794.143044413911
2023-09-08,9843.381449248765,9808.893406722927
2023-09-11,9892.553736509131,9873.404194096922
2023-09-12,9860.783144679503,9819.24183206901
2023-09-13,9869.032838019935,9830.691433349253
2023-09-14,9942.104336049586,9915.454312542504
2023-09-15,9839.118269267881,9795.990557554704
2023-09-18,9835.620662397327,9801.735071457464
2023-09-19,9825.432674377156,9781.408968441625
2023-09-20,9757.755077498932,9691.485364597138
2023-09-21,9616.856568712543,9531.300234235061
2023-09-22,9598.004919657571,9509.868113431081
2023-09-25,9624.781445445757,9549.859752240947
2023-09-26,9554.151631692228,9409.559424488934
2023-09-27,9557.003394581712,9413.31601148543
2023-09-28,9605.413798758862,9467.889239408374
2023-09-29,9585.031213441607,9444.911875490756
2023-10-02,9573.323247572014,9441.154596800836
2023-10-03,9509.313064046819,9314.775290940088
2023-10-04,9561.096268099816,9382.604823371934
2023-10-05,9557.946628268543,9379.070269965177
2023-10-06,9657.176308518305,9490.42668630707
2023-10-09,9702.807619169154,9551.18572853855
2023-10-10,9728.032601630975,9600.897043370285
2023-10-11,9757.924844585015,9640.224656491211
2023-10-12,9705.85368761096,9581.454924552849
